month,state,permit,permit_recheck,handgun,long_gun,other,multiple,admin,prepawn_handgun,prepawn_long_gun,prepawn_other,redemption_handgun,redemption_long_gun,redemption_other,returned_handgun,returned_long_gun,returned_other,rentals_handgun,rentals_long_gun,private_sale_handgun,private_sale_long_gun,private_sale_other,return_to_seller_handgun,return_to_seller_long_gun,return_to_seller_other,totals
2004-05,Vermont,0,NA,460,723,NA,41,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1224
2004-05,Virgin Islands,0,NA,0,0,NA,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2004-05,Virginia,0,NA,6023,6548,NA,148,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12719
2004-05,Washington,3019,NA,4408,5940,NA,210,20,2,12,NA,701,906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15218
2004-05,West Virginia,0,NA,2026,2850,NA,153,0,0,2,NA,447,1389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6867
2004-05,Wisconsin,0,NA,3093,7440,NA,4,0,0,0,NA,4,158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10699
2004-05,Wyoming,152,NA,630,1241,NA,44,0,0,1,NA,91,213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2372
2004-04,Alabama,0,NA,5436,5490,NA,263,0,23,55,NA,1194,1486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13947
2004-04,Alaska,0,NA,1220,2001,NA,75,0,1,6,NA,152,267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3722
2004-04,Arizona,1768,NA,4857,4337,NA,247,0,7,12,NA,715,615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12558
2004-04,Arkansas,295,NA,2489,4121,NA,173,0,7,16,NA,556,1556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9213
2004-04,California,12699,NA,14876,15794,NA,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43369
2004-04,Colorado,1112,NA,5902,7183,NA,379,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14576
2004-04,Connecticut,4417,NA,1778,1859,NA,81,315,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8450
2004-04,Delaware,0,NA,492,628,NA,22,0,0,0,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1144
2004-04,District of Columbia,0,NA,2,0,NA,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
2004-04,Florida,0,NA,11542,9375,NA,466,0,15,16,NA,516,459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22389
2004-04,Georgia,3019,NA,5285,5887,NA,186,79,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14456
2004-04,Guam,0,NA,19,24,NA,1,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44
2004-04,Hawaii,704,NA,0,0,NA,0,1,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,705
2004-04,Idaho,1238,NA,1163,2737,NA,99,0,2,2,NA,227,739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6207
2004-04,Illinois,33635,NA,4295,6500,NA,271,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44701
2004-04,Indiana,0,NA,4988,6509,NA,173,0,0,5,NA,3,413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12091
